<http://zbw.eu/stw/descriptor/18803-0>	Public institution
<http://zbw.eu/stw/descriptor/16912-5>	Saarland
<http://zbw.eu/stw/descriptor/18231-5>	Wind energy
<http://zbw.eu/stw/descriptor/11260-5>	Time use
<http://zbw.eu/stw/descriptor/29629-0>	Junk bond
<http://zbw.eu/stw/descriptor/18728-2>	Financial supervision
<http://zbw.eu/stw/descriptor/13236-6>	Steel trading
<http://zbw.eu/stw/descriptor/19340-2>	Meat market
<http://zbw.eu/stw/descriptor/18732-4>	Offering price
<http://zbw.eu/stw/thsys/70198>	G.00  World
<http://zbw.eu/stw/descriptor/27185-6>	Resource-based view
<http://zbw.eu/stw/descriptor/11657-6>	Local business tax
<http://zbw.eu/stw/descriptor/30022-0>	Coke oven
<http://zbw.eu/stw/descriptor/15392-3>	Seasonal component
<http://zbw.eu/stw/descriptor/18552-6>	E-commerce
<http://zbw.eu/stw/descriptor/11046-0>	Capitalism
<http://zbw.eu/stw/descriptor/11618-2>	Government securities
<http://zbw.eu/stw/descriptor/29958-2>	Balassa-Samuelson effect
<http://zbw.eu/stw/descriptor/18156-0>	Ricardian equivalence
<http://zbw.eu/stw/descriptor/10022-5>	Debt restructuring
<http://zbw.eu/stw/descriptor/12020-6>	Land tenure
<http://zbw.eu/stw/descriptor/16976-0>	Ticino
<http://zbw.eu/stw/descriptor/10267-3>	Public consumption
<http://zbw.eu/stw/descriptor/12078-3>	Crisis management
<http://zbw.eu/stw/thsys/70143>	N.08.01  Education and learning
<http://zbw.eu/stw/descriptor/10750-0>	Convertibility
<http://zbw.eu/stw/descriptor/26278-4>	Georgian
<http://zbw.eu/stw/thsys/70026>	G.04  America
<http://zbw.eu/stw/thsys/71063>	V.09.06.01  Infrastructure
<http://zbw.eu/stw/descriptor/13574-0>	Railway technology
<http://zbw.eu/stw/descriptor/10574-1>	Colonialism
<http://zbw.eu/stw/descriptor/11377-5>	School
<http://zbw.eu/stw/descriptor/12110-5>	Organizational sociology
<http://zbw.eu/stw/descriptor/12829-5>	Advertising media
<http://zbw.eu/stw/descriptor/19398-6>	Public real estate
<http://zbw.eu/stw/descriptor/16809-5>	World
<http://zbw.eu/stw/thsys/71050>	B.04.04  Working conditions and labour-management relations
<http://zbw.eu/stw/descriptor/15992-0>	Chemicals regulation
<http://zbw.eu/stw/descriptor/29584-3>	EU water policy
<http://zbw.eu/stw/descriptor/10491-5>	Brain drain
<http://zbw.eu/stw/descriptor/13409-1>	Territorial authority
<http://zbw.eu/stw/descriptor/26758-4>	South Koreans
<http://zbw.eu/stw/descriptor/18456-2>	Industry classification
<http://zbw.eu/stw/descriptor/30014-6>	Islamic economics
<http://zbw.eu/stw/thsys/70960>	W.10.01  Agricultural trade
<http://zbw.eu/stw/descriptor/12228-3>	Corporate liquidity
<http://zbw.eu/stw/descriptor/18305-2>	Drinks packaging
<http://zbw.eu/stw/thsys/70936>	W.12.03  Shipping
<http://zbw.eu/stw/descriptor/14142-3>	Cattle
<http://zbw.eu/stw/descriptor/13014-3>	Ceramics industry
<http://zbw.eu/stw/descriptor/17199-1>	Western Europe
<http://zbw.eu/stw/descriptor/19178-6>	G7 countries
<http://zbw.eu/stw/descriptor/15916-2>	Demography
<http://zbw.eu/stw/descriptor/10621-4>	International economic law
<http://zbw.eu/stw/descriptor/14366-2>	Construction machinery
<http://zbw.eu/stw/descriptor/29226-1>	Geographic information system
<http://zbw.eu/stw/thsys/71024>	W.01.03  Agricultural economics
<http://zbw.eu/stw/descriptor/15063-1>	Sequential test
<http://zbw.eu/stw/descriptor/12277-4>	Creditor protection
<http://zbw.eu/stw/descriptor/15450-1>	Noncooperative game
<http://zbw.eu/stw/descriptor/13643-0>	Package tour
<http://zbw.eu/stw/descriptor/29756-0>	European employment policy
<http://zbw.eu/stw/descriptor/13785-1>	Underwriting business
<http://zbw.eu/stw/descriptor/16053-6>	Industrial property rights
<http://zbw.eu/stw/descriptor/12796-1>	Transfer pricing
<http://zbw.eu/stw/descriptor/26449-3>	Malaysian
<http://zbw.eu/stw/descriptor/11535-6>	Fiscal constitution
<http://zbw.eu/stw/descriptor/24847-1>	Organizational behaviour
<http://zbw.eu/stw/descriptor/13660-0>	Media law
<http://zbw.eu/stw/descriptor/19479-6>	Urban open space
<http://zbw.eu/stw/descriptor/19758-2>	Reputation
<http://zbw.eu/stw/descriptor/12282-4>	Equity participation
<http://zbw.eu/stw/descriptor/18169-5>	Works agreement
<http://zbw.eu/stw/descriptor/11573-5>	Reparations
<http://zbw.eu/stw/descriptor/16146-6>	Maternity protection
<http://zbw.eu/stw/descriptor/15604-0>	Data protection
<http://zbw.eu/stw/descriptor/11282-2>	Unskilled workers
<http://zbw.eu/stw/descriptor/13161-4>	Processing of fruits and vegetables
<http://zbw.eu/stw/descriptor/17968-1>	Pacific Ocean
<http://zbw.eu/stw/descriptor/17713-6>	Mauritania
<http://zbw.eu/stw/descriptor/18859-1>	Behaviour
<http://zbw.eu/stw/descriptor/18920-3>	Cultural sector
<http://zbw.eu/stw/descriptor/26290-0>	Hispanics
<http://zbw.eu/stw/descriptor/15837-5>	Job satisfaction
<http://zbw.eu/stw/descriptor/13362-1>	Sports facilities
<http://zbw.eu/stw/descriptor/11424-1>	Money creation
<http://zbw.eu/stw/descriptor/18402-4>	Metallurgy
<http://zbw.eu/stw/descriptor/10045-0>	Lag model
<http://zbw.eu/stw/descriptor/12311-2>	Revenue
<http://zbw.eu/stw/descriptor/10412-6>	Stagflation
<http://zbw.eu/stw/descriptor/17994-0>	CMEA countries
<http://zbw.eu/stw/descriptor/10558-6>	Development organization
<http://zbw.eu/stw/descriptor/16134-6>	Vocational training law
<http://zbw.eu/stw/descriptor/16514-3>	Film policy
<http://zbw.eu/stw/descriptor/17201-5>	Belgium
<http://zbw.eu/stw/descriptor/19179-4>	Mercosur countries
<http://zbw.eu/stw/descriptor/10931-3>	Resale price maintenance
<http://zbw.eu/stw/descriptor/11185-0>	Labour law
<http://zbw.eu/stw/thsys/70969>	W.07.01  Building construction
<http://zbw.eu/stw/thsys/70201>	P.00  Products
<http://zbw.eu/stw/descriptor/14192-2>	Mining commodities
<http://zbw.eu/stw/descriptor/11709-6>	Tax avoidance
<http://zbw.eu/stw/descriptor/10725-6>	Capital controls
<http://zbw.eu/stw/descriptor/28353-6>	Dispute settlement
<http://zbw.eu/stw/descriptor/11055-6>	Market economy
<http://zbw.eu/stw/descriptor/19820-2>	Common law
<http://zbw.eu/stw/descriptor/19780-2>	Recreational fishing
<http://zbw.eu/stw/descriptor/12215-5>	Managerial finance
<http://zbw.eu/stw/descriptor/10481-1>	Patent law
<http://zbw.eu/stw/descriptor/12022-2>	Land rent
<http://zbw.eu/stw/descriptor/13767-3>	Bill of exchange
<http://zbw.eu/stw/descriptor/14998-0>	Cigarette
<http://zbw.eu/stw/descriptor/29922-2>	Linear programming
<http://zbw.eu/stw/descriptor/19070-5>	Empirical method
<http://zbw.eu/stw/descriptor/27928-0>	Work-life balance
<http://zbw.eu/stw/descriptor/13029-4>	Steel industry
<http://zbw.eu/stw/descriptor/19204-3>	Evolutionary economics
<http://zbw.eu/stw/descriptor/13960-2>	Engineers
<http://zbw.eu/stw/descriptor/18665-0>	Mobile application
<http://zbw.eu/stw/descriptor/16329-5>	Government
<http://zbw.eu/stw/thsys/70254>	P.10.03  Electronic Products
<http://zbw.eu/stw/descriptor/19624-2>	Flood
<http://zbw.eu/stw/descriptor/16724-6>	Structuralism
<http://zbw.eu/stw/descriptor/19271-2>	CAPM
<http://zbw.eu/stw/descriptor/13004-6>	Rubber industry
<http://zbw.eu/stw/thsys/73380>	N.04.03.01  Government
<http://zbw.eu/stw/descriptor/19217-1>	Intangible goods
<http://zbw.eu/stw/descriptor/11039-4>	Efficiency
