<http://www.yso.fi/onto/yso/p19899>	Häme Castle
<http://www.yso.fi/onto/yso/p5057>	age structure
<http://www.yso.fi/onto/yso/p15997>	mezzotint
<http://www.yso.fi/onto/yso/p12410>	Word Pro
<http://www.yso.fi/onto/yso/p19003>	catering
<http://www.yso.fi/onto/yso/p8132>	Japanese language literature
<http://www.yso.fi/onto/yso/p109168>	Marshall Islands
<http://www.yso.fi/onto/yso/p9572>	flavouring preparations
<http://www.yso.fi/onto/yso/p6212>	machine industry
<http://www.yso.fi/onto/yso/p19287>	respiratory paralysis
<http://www.yso.fi/onto/yso/p11238>	economic effects
<http://www.yso.fi/onto/yso/p1755>	plants
<http://www.yso.fi/onto/yso/p18859>	Personal Data Act
<http://www.yso.fi/onto/yso/p13509>	Indonesian language
<http://www.yso.fi/onto/yso/p16550>	users
<http://www.yso.fi/onto/yso/p23049>	content filtering
<http://www.yso.fi/onto/yso/p9767>	bodybuilders
<http://www.yso.fi/onto/yso/p27153>	educational interpreting
<http://www.yso.fi/onto/yso/p6359>	angling
<http://www.yso.fi/onto/yso/p29991>	rudiments (music)
<http://www.yso.fi/onto/yso/p11327>	taking advantage
<http://www.yso.fi/onto/yso/p2255>	dwellings
<http://www.yso.fi/onto/yso/p18067>	glues
<http://www.yso.fi/onto/yso/p12194>	arctic research
<http://www.yso.fi/onto/yso/p17095>	Associations Act
<http://www.yso.fi/onto/yso/p5203>	reciters
<http://www.yso.fi/onto/yso/p20191>	GWB
<http://www.yso.fi/onto/yso/p38061>	stone articles
<http://www.yso.fi/onto/yso/p22553>	hate groups
<http://www.yso.fi/onto/yso/p22311>	technology industry
<http://www.yso.fi/onto/yso/p708>	oscillations
<http://www.yso.fi/onto/yso/p153717>	Rosala
<http://www.yso.fi/onto/yso/p27525>	Mozarabs
<http://www.yso.fi/onto/yso/p8386>	sirenians
<http://www.yso.fi/onto/yso/p21430>	creative economy
<http://www.yso.fi/onto/yso/p7437>	tequila
<http://www.yso.fi/onto/yso/p3018>	paradigms
<http://www.yso.fi/onto/yso/p12122>	Constitution of Finland
<http://www.yso.fi/onto/yso/p169994>	Yamalo-Nenets Autonomous Okrug
<http://www.yso.fi/onto/yso/p9887>	arrhythmias
<http://www.yso.fi/onto/yso/p23504>	alcometers
<http://www.yso.fi/onto/yso/p10087>	transfer (communication)
<http://www.yso.fi/onto/yso/p128117>	Saarland
<http://www.yso.fi/onto/yso/p8570>	marimba
<http://www.yso.fi/onto/yso/p9343>	source codes
<http://www.yso.fi/onto/yso/p157>	study material
<http://www.yso.fi/onto/yso/p28686>	annual reviews
<http://www.yso.fi/onto/yso/p304>	customs counsellors
<http://www.yso.fi/onto/yso/p18176>	cranberry
<http://www.yso.fi/onto/yso/p29821>	litanies (music)
<http://www.yso.fi/onto/yso/p25027>	cold chains
<http://www.yso.fi/onto/yso/p29113>	functional equations
<http://www.yso.fi/onto/yso/p212866>	Veromies
<http://www.yso.fi/onto/yso/p14585>	electronic signature
<http://www.yso.fi/onto/yso/p27650>	child's best interest
<http://www.yso.fi/onto/yso/p9229>	forest technology
<http://www.yso.fi/onto/yso/p105764>	Replot
<http://www.yso.fi/onto/yso/p5534>	racetracks
<http://www.yso.fi/onto/yso/p117193>	Onkamo
<http://www.yso.fi/onto/yso/p15374>	character description
<http://www.yso.fi/onto/yso/p9652>	electronic components
<http://www.yso.fi/onto/yso/p9453>	artistic research
<http://www.yso.fi/onto/yso/p24920>	cognitive skills
<http://www.yso.fi/onto/yso/p29459>	Georgians
<http://www.yso.fi/onto/yso/p94173>	Jyväskylä
<http://www.yso.fi/onto/yso/p5654>	catastrophes
<http://www.yso.fi/onto/yso/p20696>	sterilisation (hygiene)
<http://www.yso.fi/onto/yso/p11027>	harbours
<http://www.yso.fi/onto/yso/p11237>	technology companies
<http://www.yso.fi/onto/yso/p19183>	forest guards
<http://www.yso.fi/onto/yso/p13099>	seamen's missions (organisations)
<http://www.yso.fi/onto/yso/p13109>	migrant workers
<http://www.yso.fi/onto/yso/p13728>	agricultural advisory services
<http://www.yso.fi/onto/yso/p26357>	Nanai language
<http://www.yso.fi/onto/yso/p26715>	charcoal burning
<http://www.yso.fi/onto/yso/p8006>	Lotus
<http://www.yso.fi/onto/yso/p38201>	Vocational Education and Training Act
<http://www.yso.fi/onto/yso/p18182>	public office buildings
<http://www.yso.fi/onto/yso/p27306>	rigging
<http://www.yso.fi/onto/yso/p14913>	spreadsheet calculation
<http://www.yso.fi/onto/yso/p20968>	mirroring
<http://www.yso.fi/onto/yso/p19652>	nursing aids
<http://www.yso.fi/onto/yso/p113508>	Jolo
<http://www.yso.fi/onto/yso/p26899>	knitted lace
<http://www.yso.fi/onto/yso/p10553>	mushroom houses
<http://www.yso.fi/onto/yso/p20040>	modelling (artistic creation)
<http://www.yso.fi/onto/yso/p27748>	electric power lines
<http://www.yso.fi/onto/yso/p8354>	mood
<http://www.yso.fi/onto/yso/p14037>	Victorian era
<http://www.yso.fi/onto/yso/p6275>	justice
<http://www.yso.fi/onto/yso/p13631>	Laughing Revival
<http://www.yso.fi/onto/yso/p18147>	urban space
<http://www.yso.fi/onto/yso/p25108>	henotheism
<http://www.yso.fi/onto/yso/p57>	library work
<http://www.yso.fi/onto/yso/p28818>	Croatian language literature
<http://www.yso.fi/onto/yso/p12246>	trick photography and cinematography
<http://www.yso.fi/onto/yso/p1595>	constitutionality
<http://www.yso.fi/onto/yso/p10607>	fashionable expressions
<http://www.yso.fi/onto/yso/p182188>	Muotkatunturi Wilderness Area
<http://www.yso.fi/onto/yso/p8298>	rest
<http://www.yso.fi/onto/yso/p18796>	psychophysics
<http://www.yso.fi/onto/yso/p20092>	institutions of higher education in visual arts
<http://www.yso.fi/onto/yso/p6994>	administrative law
<http://www.yso.fi/onto/yso/p94319>	Oulainen
<http://www.yso.fi/onto/yso/p13950>	Övre Anarjokka National Park
<http://www.yso.fi/onto/yso/p24552>	parlours
<http://www.yso.fi/onto/yso/p108153>	Lake Tolvayarvi
<http://www.yso.fi/onto/yso/p14262>	automatic writing
<http://www.yso.fi/onto/yso/p26195>	benches
<http://www.yso.fi/onto/yso/p121328>	Jyväsjärvi
<http://www.yso.fi/onto/yso/p12933>	liver insufficiency
<http://www.yso.fi/onto/yso/p1582>	signposts
<http://www.yso.fi/onto/yso/p18027>	timber growing
<http://www.yso.fi/onto/yso/p23110>	DAP measurement
<http://www.yso.fi/onto/yso/p8372>	labour disputes
<http://www.yso.fi/onto/yso/p10429>	social sciences
<http://www.yso.fi/onto/yso/p24918>	brotherhoods
<http://www.yso.fi/onto/yso/p14234>	tribology
<http://www.yso.fi/onto/yso/p9814>	milk platforms
<http://www.yso.fi/onto/yso/p3590>	mathematical statistics
<http://www.yso.fi/onto/yso/p19550>	film directors
<http://www.yso.fi/onto/yso/p6006>	problem solving
<http://www.yso.fi/onto/yso/p6134>	shortage of energy
<http://www.yso.fi/onto/yso/p116444>	Nag Hammadi
<http://www.yso.fi/onto/yso/p17703>	resiliency (flexibility)
<http://www.yso.fi/onto/yso/p5920>	organ transplantation
<http://www.yso.fi/onto/yso/p7052>	demonstrations (presentations)
<http://www.yso.fi/onto/yso/p25604>	Yaqui Indians
<http://www.yso.fi/onto/yso/p16253>	High Renaissance
<http://www.yso.fi/onto/yso/p8414>	sodium
<http://www.yso.fi/onto/yso/p7721>	paternity leave
<http://www.yso.fi/onto/yso/p8293>	transliteration
<http://www.yso.fi/onto/yso/p5246>	Dalsvik manor
<http://www.yso.fi/onto/yso/p731>	national defence
<http://www.yso.fi/onto/yso/p24202>	sustainable consumption
<http://www.yso.fi/onto/yso/p11173>	view of women
<http://www.yso.fi/onto/yso/p9054>	ufology
<http://www.yso.fi/onto/yso/p9227>	forest machines
<http://www.yso.fi/onto/yso/p5177>	celibacy
<http://www.yso.fi/onto/yso/p10863>	toxins
<http://www.yso.fi/onto/yso/p105029>	Hungary
<http://www.yso.fi/onto/yso/p17213>	intertextuality
<http://www.yso.fi/onto/yso/p2316>	neurophysiology
<http://www.yso.fi/onto/yso/p1666>	field hospitals
<http://www.yso.fi/onto/yso/p27771>	home videos
<http://www.yso.fi/onto/yso/p2047>	sea transport
<http://www.yso.fi/onto/yso/p23475>	marginal notes
<http://www.yso.fi/onto/yso/p2456>	adenoid
<http://www.yso.fi/onto/yso/p20424>	Villa Urpo
<http://www.yso.fi/onto/yso/p12148>	German language
<http://www.yso.fi/onto/yso/p6038>	performing (mutual activity)
<http://www.yso.fi/onto/yso/p151651>	Alingsås
<http://www.yso.fi/onto/yso/p19437>	FastSite
<http://www.yso.fi/onto/yso/p15364>	Lapland hamatocaulis moss
<http://www.yso.fi/onto/yso/p25095>	student unions (polytechnics)
<http://www.yso.fi/onto/yso/p28969>	ladles
<http://www.yso.fi/onto/yso/p12416>	social cognition
<http://www.yso.fi/onto/yso/p20389>	cable industry
<http://www.yso.fi/onto/yso/p3778>	foundries
<http://www.yso.fi/onto/yso/p16669>	waltz (dances)
<http://www.yso.fi/onto/yso/p23162>	orthognathia
<http://www.yso.fi/onto/yso/p19653>	grandfathers
<http://www.yso.fi/onto/yso/p23224>	electronic financial management
<http://www.yso.fi/onto/yso/p11494>	early interaction
<http://www.yso.fi/onto/yso/p7153>	dance sport
<http://www.yso.fi/onto/yso/p9642>	raw water
<http://www.yso.fi/onto/yso/p18441>	CQL
<http://www.yso.fi/onto/yso/p10853>	Alcidae
<http://www.yso.fi/onto/yso/p29708>	dactyl
<http://www.yso.fi/onto/yso/p15304>	orthodontics
<http://www.yso.fi/onto/yso/p13368>	Kalevala jubilee
<http://www.yso.fi/onto/yso/p3878>	cultural sociology
<http://www.yso.fi/onto/yso/p19369>	photoelectric cells
<http://www.yso.fi/onto/yso/p22915>	GW-BASIC
<http://www.yso.fi/onto/yso/p14171>	domestic products
<http://www.yso.fi/onto/yso/p27920>	Eurocodes
<http://www.yso.fi/onto/yso/p27986>	just war
<http://www.yso.fi/onto/yso/p15639>	study attainments
<http://www.yso.fi/onto/yso/p5944>	dyestuffs industry
<http://www.yso.fi/onto/yso/p3068>	intellectual property law
<http://www.yso.fi/onto/yso/p109154>	Unnukka
<http://www.yso.fi/onto/yso/p26609>	moral panic
<http://www.yso.fi/onto/yso/p17867>	computer-assisted teaching
<http://www.yso.fi/onto/yso/p6276>	illegality
<http://www.yso.fi/onto/yso/p20394>	culture sections
<http://www.yso.fi/onto/yso/p10781>	osteoporosis
<http://www.yso.fi/onto/yso/p13501>	institutes of media culture studies
<http://www.yso.fi/onto/yso/p4894>	stage engineering
<http://www.yso.fi/onto/yso/p8863>	genotype
<http://www.yso.fi/onto/yso/p19076>	Hasidism
<http://www.yso.fi/onto/yso/p94163>	Jalasjärvi
<http://www.yso.fi/onto/yso/p18105>	discussion groups
<http://www.yso.fi/onto/yso/p694>	technical drawing
<http://www.yso.fi/onto/yso/p106714>	Usadishche, Vyborgsky District, Leningrad Oblast
<http://www.yso.fi/onto/yso/p190813>	Sparta
<http://www.yso.fi/onto/yso/p24374>	poisonous snakes
<http://www.yso.fi/onto/yso/p19867>	landscape research
<http://www.yso.fi/onto/yso/p12471>	gloves (clothing accessories)
<http://www.yso.fi/onto/yso/p469>	medicine (science)
<http://www.yso.fi/onto/yso/p5502>	foundation engineering
<http://www.yso.fi/onto/yso/p18669>	subtropics
<http://www.yso.fi/onto/yso/p116380>	White Sea
<http://www.yso.fi/onto/yso/p25109>	shots (pellets)
<http://www.yso.fi/onto/yso/p29107>	Mapuche Indians
<http://www.yso.fi/onto/yso/p28147>	programme leaflets
<http://www.yso.fi/onto/yso/p38302>	Bohemian waxwing
<http://www.yso.fi/onto/yso/p109658>	Ulkokrunni
<http://www.yso.fi/onto/yso/p10631>	questionnaire survey
<http://www.yso.fi/onto/yso/p22238>	crossword puzzle magazines
<http://www.yso.fi/onto/yso/p12225>	average values
<http://www.yso.fi/onto/yso/p94423>	Sund
<http://www.yso.fi/onto/yso/p26019>	Korpikoti
<http://www.yso.fi/onto/yso/p2722>	quality systems
<http://www.yso.fi/onto/yso/p28576>	expressivism
<http://www.yso.fi/onto/yso/p13753>	commemorative medals
<http://www.yso.fi/onto/yso/p14371>	kempo
<http://www.yso.fi/onto/yso/p15298>	cost of repair
<http://www.yso.fi/onto/yso/p27819>	stage managers
<http://www.yso.fi/onto/yso/p15552>	mixing (sound)
<http://www.yso.fi/onto/yso/p10832>	cash management
<http://www.yso.fi/onto/yso/p14315>	animal farms
<http://www.yso.fi/onto/yso/p19942>	dates (time)
<http://www.yso.fi/onto/yso/p1920>	water traffic
<http://www.yso.fi/onto/yso/p22857>	tellurium
<http://www.yso.fi/onto/yso/p94191>	Karis
<http://www.yso.fi/onto/yso/p3948>	detachments (military)
<http://www.yso.fi/onto/yso/p23921>	pilot experiments
<http://www.yso.fi/onto/yso/p29436>	hot dogit
<http://www.yso.fi/onto/yso/p4086>	espionage
<http://www.yso.fi/onto/yso/p15217>	interpersonal communication
<http://www.yso.fi/onto/yso/p5604>	societal responsibility
<http://www.yso.fi/onto/yso/p21612>	social stations
<http://www.yso.fi/onto/yso/p27705>	interfaces (surfaces)
<http://www.yso.fi/onto/yso/p28625>	cockfighting
<http://www.yso.fi/onto/yso/p12728>	ambulant school
<http://www.yso.fi/onto/yso/p18129>	business leaders
<http://www.yso.fi/onto/yso/p21362>	Rett syndrome
<http://www.yso.fi/onto/yso/p18321>	forest conservation
<http://www.yso.fi/onto/yso/p18762>	Tiainen Crown tenant farm
<http://www.yso.fi/onto/yso/p9451>	humanism
<http://www.yso.fi/onto/yso/p115344>	Hollywood
<http://www.yso.fi/onto/yso/p2175>	copying
<http://www.yso.fi/onto/yso/p10999>	subjunctive
<http://www.yso.fi/onto/yso/p19629>	social advisors
<http://www.yso.fi/onto/yso/p27802>	chewing tobacco
<http://www.yso.fi/onto/yso/p5846>	Heliconiinae
<http://www.yso.fi/onto/yso/p15337>	sealants
<http://www.yso.fi/onto/yso/p24930>	memristors
<http://www.yso.fi/onto/yso/p3923>	physical culture
<http://www.yso.fi/onto/yso/p16142>	lawns
<http://www.yso.fi/onto/yso/p198422>	Larsmosjön
<http://www.yso.fi/onto/yso/p1770>	virpominen
<http://www.yso.fi/onto/yso/p166490>	Trier
<http://www.yso.fi/onto/yso/p18195>	biscuit industry
<http://www.yso.fi/onto/yso/p5302>	learning difficulties
<http://www.yso.fi/onto/yso/p8974>	job alternation
<http://www.yso.fi/onto/yso/p16952>	chronic pain
<http://www.yso.fi/onto/yso/p14540>	general practitioners
<http://www.yso.fi/onto/yso/p22529>	clinical neurophysiology
<http://www.yso.fi/onto/yso/p20831>	biogeochemistry
<http://www.yso.fi/onto/yso/p19006>	local television
<http://www.yso.fi/onto/yso/p24619>	exotic (cat)
<http://www.yso.fi/onto/yso/p11718>	middle-aged persons
<http://www.yso.fi/onto/yso/p25135>	drawn thread work
<http://www.yso.fi/onto/yso/p4315>	Virtaan Vanhakartano manor
<http://www.yso.fi/onto/yso/p17656>	insurance physicians
<http://www.yso.fi/onto/yso/p12655>	tourist boards
<http://www.yso.fi/onto/yso/p10608>	transition economy
<http://www.yso.fi/onto/yso/p23546>	Irish language
<http://www.yso.fi/onto/yso/p29616>	Masters of Social Sciences
<http://www.yso.fi/onto/yso/p205519>	Pristina
<http://www.yso.fi/onto/yso/p23452>	Allinna
<http://www.yso.fi/onto/yso/p18036>	trellises
<http://www.yso.fi/onto/yso/p21653>	Sampojuhlat
<http://www.yso.fi/onto/yso/p28396>	arid regions
<http://www.yso.fi/onto/yso/p18905>	scale (mathematical concepts)
<http://www.yso.fi/onto/yso/p9867>	Approach
<http://www.yso.fi/onto/yso/p105728>	Mietoinen
<http://www.yso.fi/onto/yso/p852>	SCARGO
<http://www.yso.fi/onto/yso/p11476>	sea defence
<http://www.yso.fi/onto/yso/p22623>	Genuine Progress Indicator
<http://www.yso.fi/onto/yso/p37556>	psychoanalytic literary criticism
<http://www.yso.fi/onto/yso/p20889>	majorities
<http://www.yso.fi/onto/yso/p117179>	Kuuskajaskari
<http://www.yso.fi/onto/yso/p14484>	players (non-music)
<http://www.yso.fi/onto/yso/p27778>	conductive education
<http://www.yso.fi/onto/yso/p22807>	Slavistics
<http://www.yso.fi/onto/yso/p18989>	kitchen supervisors
<http://www.yso.fi/onto/yso/p28580>	canoeing routes
<http://www.yso.fi/onto/yso/p4778>	coordinates
<http://www.yso.fi/onto/yso/p5593>	age groups
<http://www.yso.fi/onto/yso/p6778>	art criticism
<http://www.yso.fi/onto/yso/p25181>	drug resistance
<http://www.yso.fi/onto/yso/p17397>	menopause
<http://www.yso.fi/onto/yso/p6768>	chewing gum
<http://www.yso.fi/onto/yso/p22038>	timeliness
<http://www.yso.fi/onto/yso/p7757>	chemicals
<http://www.yso.fi/onto/yso/p8031>	customs control
<http://www.yso.fi/onto/yso/p27143>	gaze
<http://www.yso.fi/onto/yso/p16307>	rondos
<http://www.yso.fi/onto/yso/p4227>	endocarditis
<http://www.yso.fi/onto/yso/p94285>	Maxmo
<http://www.yso.fi/onto/yso/p37831>	working dogs
<http://www.yso.fi/onto/yso/p10503>	multi-modal studying
<http://www.yso.fi/onto/yso/p4468>	electrical engineers
<http://www.yso.fi/onto/yso/p3525>	newborn infants
<http://www.yso.fi/onto/yso/p18945>	silk painting
<http://www.yso.fi/onto/yso/p23670>	Tarkkala Farm
<http://www.yso.fi/onto/yso/p7062>	crayfish culture
<http://www.yso.fi/onto/yso/p29184>	Udi language
<http://www.yso.fi/onto/yso/p12938>	multi-problem
<http://www.yso.fi/onto/yso/p4252>	water level height
<http://www.yso.fi/onto/yso/p17992>	arteriosclerosis
<http://www.yso.fi/onto/yso/p15276>	technical commitees
<http://www.yso.fi/onto/yso/p16974>	prolative case
<http://www.yso.fi/onto/yso/p22648>	curators
<http://www.yso.fi/onto/yso/p25769>	third-generation human rights
<http://www.yso.fi/onto/yso/p2857>	lying (dishonesty)
<http://www.yso.fi/onto/yso/p21243>	andropause
<http://www.yso.fi/onto/yso/p2004>	probes
<http://www.yso.fi/onto/yso/p9764>	electricity measurement technology
<http://www.yso.fi/onto/yso/p17973>	Convention on the Protection of the Marine Environment of the Baltic Sea Area
<http://www.yso.fi/onto/yso/p29487>	Koreanology
<http://www.yso.fi/onto/yso/p122231>	Petra
<http://www.yso.fi/onto/yso/p176321>	Ischia
<http://www.yso.fi/onto/yso/p21967>	zest for life
<http://www.yso.fi/onto/yso/p26263>	distributed work
<http://www.yso.fi/onto/yso/p27514>	carcinosarcoma
<http://www.yso.fi/onto/yso/p4145>	psychoses
<http://www.yso.fi/onto/yso/p9943>	greenhouses
<http://www.yso.fi/onto/yso/p28073>	water snails
<http://www.yso.fi/onto/yso/p162363>	Alakylä
<http://www.yso.fi/onto/yso/p17159>	judo
<http://www.yso.fi/onto/yso/p17599>	adverbs
<http://www.yso.fi/onto/yso/p19044>	vernacular furniture
<http://www.yso.fi/onto/yso/p24043>	fashion sector
<http://www.yso.fi/onto/yso/p11284>	teachings skills
<http://www.yso.fi/onto/yso/p16567>	lambs
<http://www.yso.fi/onto/yso/p18071>	documentary photography
<http://www.yso.fi/onto/yso/p27576>	travel account (statistics)
<http://www.yso.fi/onto/yso/p26298>	governments (administrative areas)
<http://www.yso.fi/onto/yso/p20451>	pumping stations
<http://www.yso.fi/onto/yso/p3898>	budo
<http://www.yso.fi/onto/yso/p20888>	Pro Arte art award
<http://www.yso.fi/onto/yso/p25474>	the Allies
<http://www.yso.fi/onto/yso/p20666>	Commemoration of Year 1809
<http://www.yso.fi/onto/yso/p21550>	alendronate
<http://www.yso.fi/onto/yso/p109202>	São Tomé and Príncipe
<http://www.yso.fi/onto/yso/p3315>	athletes
<http://www.yso.fi/onto/yso/p37943>	digital support
<http://www.yso.fi/onto/yso/p17371>	Nuuksio National Park
<http://www.yso.fi/onto/yso/p94176>	Jämsänkoski
<http://www.yso.fi/onto/yso/p2484>	identification (cognition )
<http://www.yso.fi/onto/yso/p105955>	Koitere
<http://www.yso.fi/onto/yso/p8779>	fabric weaving
<http://www.yso.fi/onto/yso/p28467>	Aunessilta (museum bridges)
<http://www.yso.fi/onto/yso/p19195>	myeloma
<http://www.yso.fi/onto/yso/p8472>	judicial examination of the spot
<http://www.yso.fi/onto/yso/p21241>	urination
<http://www.yso.fi/onto/yso/p29769>	Rescue Act (2011)
<http://www.yso.fi/onto/yso/p12220>	coffee tree
<http://www.yso.fi/onto/yso/p2597>	subtitling
<http://www.yso.fi/onto/yso/p38147>	problem behaviour
<http://www.yso.fi/onto/yso/p14736>	ice hockey players
<http://www.yso.fi/onto/yso/p16399>	rabbis
<http://www.yso.fi/onto/yso/p7614>	citizen service
<http://www.yso.fi/onto/yso/p11477>	automation
<http://www.yso.fi/onto/yso/p24429>	best men
<http://www.yso.fi/onto/yso/p25217>	media artists
<http://www.yso.fi/onto/yso/p108289>	Övermark
<http://www.yso.fi/onto/yso/p132678>	Hinnerjoki
<http://www.yso.fi/onto/yso/p25834>	wraps (scarves)
<http://www.yso.fi/onto/yso/p9031>	receptors
<http://www.yso.fi/onto/yso/p105801>	Lintuvaara
<http://www.yso.fi/onto/yso/p27339>	coding theory
<http://www.yso.fi/onto/yso/p18286>	military ranks
<http://www.yso.fi/onto/yso/p15408>	Roman Catholic Church
<http://www.yso.fi/onto/yso/p3950>	service troops
<http://www.yso.fi/onto/yso/p14297>	temperate broadleaf and mixed forests
<http://www.yso.fi/onto/yso/p24520>	theories of economic growth
<http://www.yso.fi/onto/yso/p13497>	non-contentious jurisdiction
<http://www.yso.fi/onto/yso/p10875>	prison guards
<http://www.yso.fi/onto/yso/p9935>	masts
<http://www.yso.fi/onto/yso/p10482>	moral development
<http://www.yso.fi/onto/yso/p25955>	fish resources
<http://www.yso.fi/onto/yso/p6454>	industrial design
<http://www.yso.fi/onto/yso/p27532>	Arctiidae
<http://www.yso.fi/onto/yso/p6669>	art awards
<http://www.yso.fi/onto/yso/p26949>	outpatient rehabilitation
<http://www.yso.fi/onto/yso/p25737>	endocrinologists
<http://www.yso.fi/onto/yso/p18873>	ikebana
<http://www.yso.fi/onto/yso/p139509>	Noljakka
<http://www.yso.fi/onto/yso/p11205>	Falkland Islands War
<http://www.yso.fi/onto/yso/p108437>	Manchester
<http://www.yso.fi/onto/yso/p29100>	kumihimo
<http://www.yso.fi/onto/yso/p16405>	Rapola manor
<http://www.yso.fi/onto/yso/p14079>	sieves
<http://www.yso.fi/onto/yso/p109416>	Jänisjoki
<http://www.yso.fi/onto/yso/p25869>	Arab Spring
<http://www.yso.fi/onto/yso/p27475>	3D printing
<http://www.yso.fi/onto/yso/p19967>	cultivated forests
<http://www.yso.fi/onto/yso/p27225>	Montecassino Abbey
<http://www.yso.fi/onto/yso/p8044>	trade ombudsmen
<http://www.yso.fi/onto/yso/p20494>	service trades
<http://www.yso.fi/onto/yso/p14620>	gold standard
<http://www.yso.fi/onto/yso/p2218>	ribbons
<http://www.yso.fi/onto/yso/p11375>	chronic obstructive pulmonary disease
<http://www.yso.fi/onto/yso/p26651>	dioramas
<http://www.yso.fi/onto/yso/p30050>	mbira
<http://www.yso.fi/onto/yso/p20849>	countesses
<http://www.yso.fi/onto/yso/p13978>	department of museum services
<http://www.yso.fi/onto/yso/p25893>	providence
<http://www.yso.fi/onto/yso/p19819>	common law
<http://www.yso.fi/onto/yso/p11662>	GT-PC
<http://www.yso.fi/onto/yso/p14646>	history of religion
<http://www.yso.fi/onto/yso/p12086>	infrasound
<http://www.yso.fi/onto/yso/p11679>	criticism (philosophy)
<http://www.yso.fi/onto/yso/p105499>	Uimaharju
<http://www.yso.fi/onto/yso/p13345>	zoological museums
<http://www.yso.fi/onto/yso/p8503>	attachment theory
<http://www.yso.fi/onto/yso/p10589>	formalism (styles)
<http://www.yso.fi/onto/yso/p24058>	interior decorators
<http://www.yso.fi/onto/yso/p17310>	relativity
<http://www.yso.fi/onto/yso/p12430>	landscape planning
<http://www.yso.fi/onto/yso/p23435>	paracetamol
<http://www.yso.fi/onto/yso/p26591>	bulbils
<http://www.yso.fi/onto/yso/p5333>	chief justices of Courts of Appeal
<http://www.yso.fi/onto/yso/p6734>	beetles
<http://www.yso.fi/onto/yso/p16766>	water polo
<http://www.yso.fi/onto/yso/p2187>	contradictions
<http://www.yso.fi/onto/yso/p13038>	Villa Vainoniemi
<http://www.yso.fi/onto/yso/p19039>	roller skis
<http://www.yso.fi/onto/yso/p220>	ideas (principles)
<http://www.yso.fi/onto/yso/p27575>	Global Reporting Initiative
<http://www.yso.fi/onto/yso/p27794>	Hilbert space
<http://www.yso.fi/onto/yso/p16489>	traffic systems
<http://www.yso.fi/onto/yso/p23855>	level of income
<http://www.yso.fi/onto/yso/p2751>	instruction not tied to classes
<http://www.yso.fi/onto/yso/p1840>	collective action
<http://www.yso.fi/onto/yso/p107723>	Texas
<http://www.yso.fi/onto/yso/p20992>	parish clerks
<http://www.yso.fi/onto/yso/p23404>	pedometers
<http://www.yso.fi/onto/yso/p105733>	Sippola
<http://www.yso.fi/onto/yso/p11648>	sickness
<http://www.yso.fi/onto/yso/p28787>	reversible knits
<http://www.yso.fi/onto/yso/p4066>	administrative bodies
<http://www.yso.fi/onto/yso/p6861>	Enlightenment
<http://www.yso.fi/onto/yso/p9918>	humppa (dances)
<http://www.yso.fi/onto/yso/p5212>	memorabilia
<http://www.yso.fi/onto/yso/p20873>	drama education
<http://www.yso.fi/onto/yso/p18045>	primates
<http://www.yso.fi/onto/yso/p26013>	mismatch negativity
<http://www.yso.fi/onto/yso/p23100>	Act on the Electronic Processing of Client Data in Social and Health Care
<http://www.yso.fi/onto/yso/p23874>	infiltration (change)
<http://www.yso.fi/onto/yso/p17577>	silk
<http://www.yso.fi/onto/yso/p16028>	kinematics
<http://www.yso.fi/onto/yso/p20083>	measuring methods
